protocol,variant,parameters,r2_mean,r2_sd,mse_mean,mse_sd,spearman_mean,spearman_sd,qwk_mean,qwk_sd,auc_mean,auc_sd
blocked_within_participant,VRC-3PO,137345,0.285427,0.192727,2.516142,0.678628,0.523551,0.114994,0.415713,0.200301,0.742352,0.060302
participant,VRC-3PO,137345,-0.218545,0.155435,2.630067,0.335486,0.367089,0.093873,0.052638,0.035418,0.601130,0.061397
