name,threshold,sensitivity,specificity,false_alarm_rate,true_positive,false_positive,false_negative,true_negative,precision,negative_predictive_value,alert_rate,balanced_accuracy,youden_j,sensitivity_lower,sensitivity_upper,specificity_lower,specificity_upper,false_alarm_lower,false_alarm_upper,bootstrap_replicates
default_half,0.5,0.8956521739130435,0.5176110260336907,0.48238897396630936,103,315,12,338,0.24641148325358853,0.9657142857142857,0.5442708333333334,0.7066315999733671,0.4132631999467342,0.8460600375234522,0.9387755102040817,0.3426124197002141,0.6408084499887108,0.3591915500112892,0.6573875802997858,4995
youden,0.528842568397522,0.8260869565217391,0.6263399693721287,0.37366003062787134,95,244,20,409,0.28023598820059,0.9533799533799534,0.44140625,0.7262134629469339,0.4524269258938678,0.7534246575342466,0.8918918918918919,0.49713707576270477,0.7179452166998964,0.2820547833001035,0.5028629242372952,4995
specificity_90,0.6441683769226074,0.1826086956521739,0.900459418070444,0.0995405819295559,21,65,94,588,0.2441860465116279,0.8621700879765396,0.11197916666666667,0.541534056861309,0.08306811372261791,0.12244897959183673,0.26548672566371684,0.874559915164369,0.9429522483810445,0.057047751618955395,0.12544008483563096,4995
sensitivity_80,0.5312358736991882,0.8,0.6294027565084227,0.37059724349157736,92,242,23,411,0.2754491017964072,0.9470046082949308,0.4348958333333333,0.7147013782542113,0.42940275650842263,0.6965058750773037,0.8589743589743589,0.504524886877828,0.719550105411397,0.28044989458860303,0.49547511312217196,4995
