participant_id,source_dataset,n_windows,elevated_windows,prevalence,within_participant_auc,average_precision,mean_score
simulations_16.0,simulations,135,0,0.0,,,0.45603495836257935
simulations_2.0,simulations,125,5,0.04,0.7266666666666667,0.0842447123777047,0.47299376130104065
simulations_20.0,simulations,110,0,0.0,,,0.4689843952655792
simulations_24.0,simulations,45,27,0.6,0.9979423868312757,0.998677248677248,0.5199791193008423
simulations_4.0,simulations,125,22,0.176,0.8733451015004413,0.43253321439914477,0.42215684056282043
terrain_102.0,terrain,57,0,0.0,,,0.545534074306488
terrain_104.0,terrain,57,24,0.42105263157894735,0.6300505050505051,0.6023373281485493,0.5651634335517883
terrain_113.0,terrain,57,0,0.0,,,0.5408138036727905
terrain_114.0,terrain,57,37,0.6491228070175439,0.5391891891891892,0.6927223972775189,0.5719484686851501
