bin,lower_edge,upper_edge,n_windows,mean_score,observed_rate
0,0.19812938470976257,0.3065764494240284,96,0.27395927906036377,0.0
1,0.3065764494240284,0.37424336373806,96,0.3370659649372101,0.0
2,0.37424336373806,0.4665221609175205,96,0.41756319999694824,0.010416666666666666
3,0.4665221609175205,0.5097120404243469,96,0.49167633056640625,0.14583333333333334
4,0.5097120404243469,0.5497949942946434,96,0.5297985672950745,0.20833333333333334
5,0.5497949942946434,0.5855213403701782,96,0.5666128396987915,0.25
6,0.5855213403701782,0.6376204863190651,96,0.6084520220756531,0.28125
7,0.6376204863190651,0.7898316393361816,96,0.6830289959907532,0.3020833333333333
