source_dataset,participants,windows,elevated_windows,prevalence,auc,average_precision
simulations,5,540,54,0.1,0.7968297515622619,0.20163738988470492
terrain,4,228,61,0.2675438596491228,0.6499460096201041,0.43003051923018293
