threshold,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,false_alarm_rate,precision,negative_predictive_value,alert_rate,balanced_accuracy,youden_j
0.19812938570976257,115,653,0,0,1.0,0.0,1.0,0.14973958333333334,,1.0,0.5,0.0
0.2016582190990448,115,652,0,1,1.0,0.0015313935681470138,0.998468606431853,0.14993481095176012,1.0,0.9986979166666666,0.5007656967840735,0.0015313935681469104
0.21587491035461426,115,651,0,2,1.0,0.0030627871362940277,0.996937212863706,0.15013054830287206,1.0,0.9973958333333334,0.501531393568147,0.003062787136294043
0.2178049385547638,115,650,0,3,1.0,0.004594180704441042,0.9954058192955589,0.1503267973856209,1.0,0.99609375,0.5022970903522205,0.004594180704440953
0.22901368141174316,115,649,0,4,1.0,0.006125574272588055,0.9938744257274119,0.1505235602094241,1.0,0.9947916666666666,0.503062787136294,0.006125574272588086
0.2311108112335205,115,648,0,5,1.0,0.007656967840735069,0.9923430321592649,0.15072083879423329,1.0,0.9934895833333334,0.5038284839203675,0.007656967840734996
0.23467755317687988,115,647,0,6,1.0,0.009188361408882083,0.9908116385911179,0.15091863517060367,1.0,0.9921875,0.5045941807044411,0.009188361408882129
0.23527832329273224,115,646,0,7,1.0,0.010719754977029096,0.9892802450229708,0.15111695137976347,1.0,0.9908854166666666,0.5053598774885145,0.010719754977029039
0.24290378391742706,115,645,0,8,1.0,0.01225114854517611,0.9877488514548239,0.1513157894736842,1.0,0.9895833333333334,0.5061255742725881,0.012251148545176171
0.2470332682132721,115,644,0,9,1.0,0.013782542113323124,0.9862174578866769,0.15151515151515152,1.0,0.98828125,0.5068912710566615,0.013782542113323082
0.24804380536079407,115,643,0,10,1.0,0.015313935681470138,0.9846860643185299,0.1517150395778364,1.0,0.9869791666666666,0.5076569678407351,0.015313935681470214
0.2491910457611084,115,642,0,11,1.0,0.016845329249617153,0.9831546707503829,0.15191545574636725,1.0,0.9856770833333334,0.5084226646248086,0.016845329249617125
0.2518696188926697,115,641,0,12,1.0,0.018376722817764167,0.9816232771822359,0.15211640211640212,1.0,0.984375,0.5091883614088821,0.018376722817764257
0.2527567744255066,115,640,0,13,1.0,0.019908116385911178,0.9800918836140888,0.152317880794702,1.0,0.9830729166666666,0.5099540581929556,0.019908116385911168
0.25331228971481323,115,639,0,14,1.0,0.021439509954058193,0.9785604900459418,0.15251989389920426,1.0,0.9817708333333334,0.5107197549770292,0.0214395099540583
0.25386881828308105,115,638,0,15,1.0,0.022970903522205207,0.9770290964777948,0.15272244355909695,1.0,0.98046875,0.5114854517611026,0.02297090352220521
0.2544659972190857,115,637,0,16,1.0,0.02450229709035222,0.9754977029096478,0.1529255319148936,1.0,0.9791666666666666,0.5122511485451761,0.02450229709035212
0.25530511140823364,115,636,0,17,1.0,0.026033690658499236,0.9739663093415007,0.15312916111850866,1.0,0.9778645833333334,0.5130168453292496,0.026033690658499253
0.2559267282485962,115,635,0,18,1.0,0.027565084226646247,0.9724349157733537,0.15333333333333332,1.0,0.9765625,0.5137825421133231,0.027565084226646164
0.25613412261009216,115,634,0,19,1.0,0.02909647779479326,0.9709035222052067,0.15353805073431243,1.0,0.9752604166666666,0.5145482388973966,0.029096477794793296
0.25648555159568787,115,633,0,20,1.0,0.030627871362940276,0.9693721286370597,0.1537433155080214,1.0,0.9739583333333334,0.5153139356814701,0.030627871362940207
0.25652024149894714,115,632,0,21,1.0,0.03215926493108729,0.9678407350689127,0.1539491298527443,1.0,0.97265625,0.5160796324655437,0.03215926493108734
0.25700151920318604,115,631,0,22,1.0,0.033690658499234305,0.9663093415007658,0.15415549597855227,1.0,0.9713541666666666,0.5168453292496171,0.03369065849923425
0.2576020359992981,115,630,0,23,1.0,0.03522205206738132,0.9647779479326187,0.15436241610738255,1.0,0.9700520833333334,0.5176110260336907,0.03522205206738138
0.25792983174324036,115,629,0,24,1.0,0.036753445635528334,0.9632465543644717,0.15456989247311828,1.0,0.96875,0.5183767228177641,0.03675344563552829
0.25859376788139343,115,628,0,25,1.0,0.03828483920367534,0.9617151607963247,0.15477792732166892,1.0,0.9674479166666666,0.5191424196018377,0.038284839203675425
0.2589039206504822,115,627,0,26,1.0,0.039816232771822356,0.9601837672281777,0.15498652291105122,1.0,0.9661458333333334,0.5199081163859112,0.039816232771822335
0.2603543698787689,115,626,0,27,1.0,0.04134762633996937,0.9586523736600306,0.15519568151147098,1.0,0.96484375,0.5206738131699847,0.04134762633996947
0.2606191635131836,115,625,0,28,1.0,0.042879019908116385,0.9571209800918836,0.1554054054054054,1.0,0.9635416666666666,0.5214395099540582,0.04287901990811638
0.26312485337257385,115,624,0,29,1.0,0.0444104134762634,0.9555895865237366,0.15561569688768606,1.0,0.9622395833333334,0.5222052067381318,0.04441041347626351
0.2634696066379547,115,623,0,30,1.0,0.045941807044410414,0.9540581929555896,0.15582655826558264,1.0,0.9609375,0.5229709035222052,0.04594180704441042
0.26525411009788513,115,622,0,31,1.0,0.04747320061255743,0.9525267993874426,0.1560379918588874,1.0,0.9596354166666666,0.5237366003062787,0.04747320061255733
0.26655280590057373,115,621,0,32,1.0,0.04900459418070444,0.9509954058192955,0.15625,1.0,0.9583333333333334,0.5245022970903522,0.049004594180704464
0.26672860980033875,115,620,0,33,1.0,0.05053598774885146,0.9494640122511485,0.1564625850340136,1.0,0.95703125,0.5252679938744257,0.050535987748851374
0.2678544521331787,115,619,0,34,1.0,0.05206738131699847,0.9479326186830015,0.1566757493188011,1.0,0.9557291666666666,0.5260336906584993,0.05206738131699851
