protocol,variant,parameters,r2_mean,r2_sd,mse_mean,mse_sd,spearman_mean,spearman_sd,qwk_mean,qwk_sd,auc_mean,auc_sd
blocked_within_participant,CNN,3537,0.2353268265724182,0.04511218660782831,2.6925552686055503,0.1588483419358399,0.4872183023133759,0.02349235439801196,0.4158058616274905,0.1167112704414028,0.7266515504351023,0.030460082110021294
blocked_within_participant,CNN+GRU,32049,0.25082431236902875,0.10613411945942519,2.6379857063293457,0.3737178642355242,0.49674404514636644,0.058502654213878465,0.4292033697856408,0.17282862515642466,0.740647682858738,0.04280415304387591
blocked_within_participant,CNN+TCN,102353,0.3890886704126994,0.050853533935311376,2.1511314312616983,0.17906454642832384,0.5882209478404793,0.010184960977240039,0.5364344945928284,0.020066246040747852,0.7792008824610859,0.002759489258036639
blocked_within_participant,CNN+TCN+GRU,130865,0.15523117780685425,0.2123425133696284,2.9745867252349854,0.7476971818550886,0.4531670363335365,0.11181900548574114,0.36051086129937193,0.14896346470702712,0.7034041027177441,0.059111878827835924
blocked_within_participant,Lite,10385,0.2140180468559265,0.15031225611981328,2.7675872643788657,0.5292770636296295,0.4485102550447624,0.10171627804093925,0.4037830954731496,0.17882720808747438,0.7288531637410176,0.07405396420301977
blocked_within_participant,MLP,3569,0.22887603441874185,0.10248644323285025,2.7152695655822754,0.3608736821009639,0.49175625853224364,0.06412100096469728,0.39511796970472607,0.1543101654072564,0.722369753010763,0.034579183708324586
blocked_within_participant,VRC-3PO,137345,0.2854272921880086,0.1927272490589209,2.516142209370931,0.6786281989319527,0.5235509472388671,0.11499364704440423,0.4157130221256093,0.20030066683646164,0.7423522308924931,0.06030172333350125
participant,CNN,3537,-0.058937788009643555,0.15563629490504244,2.2855759461720786,0.33592021177438675,0.4602701277489846,0.060091403759269246,0.28440592679273874,0.0685330043461631,0.6678804648588822,0.04758726411829921
participant,CNN+GRU,32049,-0.27452834447224933,0.6353793015814115,2.7508994738260903,1.371381516943037,0.35520417559604067,0.15063794755645707,0.21306495158349384,0.1570580994583146,0.5875865461476972,0.0873357921040178
participant,CNN+TCN,102353,-0.06113203366597494,0.026771584458350317,2.2903119723002114,0.0577829553675153,0.29763599156113457,0.1012410614224627,0.09264094661244442,0.08538424947099134,0.5684068130111295,0.054637795044448816
participant,CNN+TCN+GRU,130865,-0.6068554719289144,0.15978425514231318,3.4681831995646157,0.34487290779332275,0.3702736794263708,0.08515122518323923,0.19103227224828756,0.06319468226554187,0.6023820943245404,0.042933058528020866
participant,Lite,10385,-0.6038761536280314,0.10343015873246263,3.461752732594808,0.2232402549985631,0.4139644041367268,0.07509141037669595,0.20842626653412258,0.04920576222495065,0.6307827584086576,0.025250460688266214
participant,MLP,3569,-0.13269460201263428,0.14601676387770665,2.444770177205404,0.31515772319893154,0.2794308740488866,0.16505536651152403,0.15052251387868373,0.036939502526694784,0.586343233105823,0.06593621277482763
participant,VRC-3PO,137345,-0.2185452381769816,0.1554352711244208,2.6300673484802246,0.3354863039735932,0.36708873570100836,0.09387275930507608,0.05263757799954313,0.035417743251103445,0.601130172784849,0.06139709694896592
