variant,parameters,r2_mean_blocked_within_participant,r2_mean_participant,r2_sd_blocked_within_participant,r2_sd_participant,auc_mean_blocked_within_participant,auc_mean_participant,auc_sd_blocked_within_participant,auc_sd_participant
CNN,3537,0.2353268265724182,-0.058937788009643555,0.04511218660782831,0.15563629490504244,0.7266515504351023,0.6678804648588822,0.030460082110021294,0.04758726411829921
CNN+GRU,32049,0.25082431236902875,-0.27452834447224933,0.10613411945942519,0.6353793015814115,0.740647682858738,0.5875865461476972,0.04280415304387591,0.0873357921040178
CNN+TCN,102353,0.3890886704126994,-0.06113203366597494,0.050853533935311376,0.026771584458350317,0.7792008824610859,0.5684068130111295,0.002759489258036639,0.054637795044448816
CNN+TCN+GRU,130865,0.15523117780685425,-0.6068554719289144,0.2123425133696284,0.15978425514231318,0.7034041027177441,0.6023820943245404,0.059111878827835924,0.042933058528020866
Lite,10385,0.2140180468559265,-0.6038761536280314,0.15031225611981328,0.10343015873246263,0.7288531637410176,0.6307827584086576,0.07405396420301977,0.025250460688266214
MLP,3569,0.22887603441874185,-0.13269460201263428,0.10248644323285025,0.14601676387770665,0.722369753010763,0.586343233105823,0.034579183708324586,0.06593621277482763
VRC-3PO,137345,0.2854272921880086,-0.2185452381769816,0.1927272490589209,0.1554352711244208,0.7423522308924931,0.601130172784849,0.06030172333350125,0.06139709694896592
